ID,Reported_On,Retrieved_from_1,Additional_Reporting,Twitter_Reference,Direct_Post_1,Direct_Post_2,Direct_Post_3,Direct_Post_4,Direct_Post_5,Direct_Post_6,Direct_Post_7,Direct_Post_8,Direct_Post_9,Direct_Post_10,Direct_Post_11,Direct_Post_12,Direct_Post_13,Direct_Post_14,Direct_Post_15,Direct_Post_16,Title,Publication_Date,Entry_Date,Country,Primary_Language,Secondary_Language,Main_Narrative,Narrative_Description,ChainMsg_or_Email,Motive,Motive_Descripion,Source,Source_Description,Distrib_Channel,Misinfo_Type,Key_Words,Summary,Coder,Notes
AFP-I1,https://factcheck.afp.com/video-predates-indian-prime-minister-narendra-modis-call-covid-19-vigils,https://factcheck.afp.com/video-predates-indian-prime-minister-narendra-modis-call-covid-19-vigils,,1,https://www.facebook.com/sandeepsingh3705/posts/3018966421476078,https://www.facebook.com/103705094613842/videos/vb.103705094613842/612771089307800/,https://www.facebook.com/100014036829818/videos/847461985731688/,https://www.facebook.com/manoj.sehgal.397/videos/213292599927661/,https://twitter.com/ArghyaJadav/status/1247237875491430406,https://twitter.com/vishnu_parikh/status/1246762844621664256,https://twitter.com/sudhirawasthi13/status/1246631335629737986,https://www.facebook.com/rsagnr/videos/10219386392704479/,,,,,,,,,This video predates Indian Prime Minister Narendra Modi’s call for COVID-19 vigils,16-Apr-2020,17-Apr-2020,India,Hindi,,Other,Brazilians showed solidarity with PM Modi's solidarity vigil in India against the coronavirus ,0,Politics,To gain praise for PM Modi's efforts in fighting COVID-19 and building solidarity among people,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, Brazil, Narendra Modi, vigil",People circulated a video from Brazil that predated PM Modi's call for a vigil from home and tried to claim that the video was of Brazilians having a vigil in solidarity with India and Modi,Kamya,-
APF-I2,https://factcheck.afp.com/image-newspaper-front-page-has-been-doctored,https://factcheck.afp.com/image-newspaper-front-page-has-been-doctored,,1,https://www.facebook.com/AimimKishanganjBihar/posts/1535038949983523,https://twitter.com/RihanZaidi3/status/1247168071870992387,https://twitter.com/MdSamsad1111/status/1247070552071852034,https://twitter.com/MahboobSaeed786/status/1247110041536098305,https://www.facebook.com/jagot.imran/posts/2955447651210307,https://www.facebook.com/masood.sd/posts/3907429352630890,https://www.facebook.com/shuaib.ahmad.925/posts/1830064627129110,,,,,,,,,,This image of a newspaper front page has been doctored,15-Apr-2020,17-Apr-2020,India,Hindi,,Other,Indian Muslim leader donated to PM Modi's COVID-19 relief fund,0,Other,Project communal solidarity,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, Muslims, Narendra Modi, relief fund, donation",Doctored newspaper clippings were circulated to claim that an Indian Muslim leader had donated to PM Modi's COVID-19 relief fund,Kamya,-
AFP-I3,https://factcheck.afp.com/video-was-uploaded-indian-wrestling-themed-youtube-channel-june-2019,https://factcheck.afp.com/video-was-uploaded-indian-wrestling-themed-youtube-channel-june-2019,,1,https://www.facebook.com/mohmmad.khan.73113/videos/2614183872170785/,https://www.facebook.com/sherkotkijanta/videos/2570178079892150/,https://www.facebook.com/siddharth.kharat.33/posts/2890391967719404,https://www.facebook.com/dev.yadav.16940599/posts/2832712920182239,https://www.facebook.com/107587500834723/videos/1963249667133346/h,https://www.facebook.com/107587500834723/videos/1963249667133346/h,https://twitter.com/SanaUrr60385827/status/1245658665727619072,https://twitter.com/royal_siraj/status/1245631849868623872,https://twitter.com/Shameem47347305/status/1245604581431640066,https://twitter.com/Joshila_Manish/status/1245534299907952641,,,,,,,This video was uploaded to an Indian wrestling-themed YouTube channel in June 2019,10-Apr-2020,17-Apr-2020,India,Hindi,,Other,A policeman was thrashed inside a temple for trying to enforce the lockdown,0,Profit,"Criticize Delhi CM, Arvind Kejriwal, for not taking action",Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, temple, policeman, Arvind Kejriwal",An old video was circulated as a video of a policeman being beaten up by people inside a temple for trying to enforce the Indian lockdown,Kamya,-
AFP-I4,https://factcheck.afp.com/video-sanskrit-teacher-was-recorded-london-november-2019,https://factcheck.afp.com/video-sanskrit-teacher-was-recorded-london-november-2019,,1,https://www.facebook.com/2026985934059060/videos/2976640169059331/,https://www.facebook.com/2026985934059060/videos/vb.2026985934059060/2976640169059331/,https://www.facebook.com/113047273393668/videos/vb.113047273393668/896795680768967/,https://www.facebook.com/groups/1181247615244745/permalink/2806892872680203/,https://twitter.com/RakeshSinha01/status/1242337838890270720,https://twitter.com/TRavibhadauria/status/1242355446100267008,https://twitter.com/HyderabadArjun/status/1242352868360773632,https://twitter.com/jaihomumbai/status/1242339671704662018,,,,,,,,,This video of a Sanskrit teacher was recorded in London in November 2019,07-Apr-2020,17-Apr-2020,India,Hindi,,Other,A Spanish radio host was reciting Sanskrit verses on the radio amidst the coronavirus pandemic,0,Other,Make it seem like Indian culture was being used widely to instill hope in people,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, Spanish radio, Sanskrit, prayers",Videos of a London-based Sanskrit-teacher were shared on social media with the false claim that she was a Spanish-radio host who was reciting Sanskrit verses to instill hope during the pandemic,Kamya,-
AFP-I5,https://factcheck.afp.com/who-did-not-warn-against-eating-cabbage-during-covid-19-pandemic,https://factcheck.afp.com/who-did-not-warn-against-eating-cabbage-during-covid-19-pandemic,,1,https://www.facebook.com/permalink.php?story_fbid=3139867139391480&id=968942873150595,https://www.facebook.com/raghvendra.raghav.31/posts/2791423984305258,https://www.facebook.com/yogesh.goyal.16718/posts/1467694990075908,https://twitter.com/pkshukl/status/1242125212197371904,https://twitter.com/maakaachar/status/1241959519753654274,,,,,,,,,,,,WHO did not warn against eating cabbage during the COVID-19 pandemic,02-Apr-2020,17-Apr-2020,India,Hindi,,Nature of the virus,Coronavirus can survive in cabbages for really long and people should not eat it,0,Fear,Scare people into not eating cabbages,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, cabbage, food",False claims were circulated on social media saying that the WHO had said coronavirus survives in cabbage for a long time and so we should not eat cabbage during the pandemic ,Kamya,-
AFP-I6,https://factcheck.afp.com/indian-authorities-refute-fake-claim-about-food-markets-closing-chennai-during-covid-19-lockdown,https://factcheck.afp.com/indian-authorities-refute-fake-claim-about-food-markets-closing-chennai-during-covid-19-lockdown,,1,https://www.facebook.com/niranjhankumar.kumar/posts/2971248112932894,https://www.facebook.com/murugesan.ponnaiah/posts/2621737057936329,https://www.facebook.com/ma.audits.75/posts/782057252320057,https://twitter.com/GEEMS71/status/1240207892977876992,https://twitter.com/Imran030981/status/1240193252361416705,,,,,,,,,,,,Indian authorities refute 'fake' claim about food markets closing in Chennai during COVID-19 lockdown,25-Mar-2020,17-Apr-2020,India,English,,Emergency responses,"The government had shut down the food markets in Chennai, Tamil Nadu",0,Fear,Scare people into thinking food markets will also be shut,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, food, markets, Chennai",Rumors were spread saying that all food markets would also be closed during the lockdown in Chennai,Kamya,-
AFP-I7,https://factcheck.afp.com/indian-health-authorities-refute-myth-juiced-vegetables-can-cure-covid-19,https://factcheck.afp.com/indian-health-authorities-refute-myth-juiced-vegetables-can-cure-covid-19,,1,https://www.facebook.com/todaysbhaarat/posts/141089200771147,https://www.facebook.com/sajansaroj.singh.3/posts/128029365437108,,https://twitter.com/Shashindra12/status/1239008255998713856,https://twitter.com/ChaurasiaJalaj/status/1236499940332863490,,,,,,,,,,,,Indian health authorities refute myth that juiced vegetables can cure COVID-19,24-Mar-2020,17-Apr-2020,India,Hindi,English,False cures and preventative measures,Juiced vegetables can cure COVID-19,0,False Hope,Make people think there is a cure to coronavirus,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, juiced vegetables, cure",Fake remedy was circulated over social media saying that juiced vegetables could help cure coronavirus,Kamya,-
AFP-I8,https://factcheck.afp.com/these-photos-have-circulated-2011-reports-about-indian-yoga-guru-being-hospitalised-after-nine-day,https://factcheck.afp.com/these-photos-have-circulated-2011-reports-about-indian-yoga-guru-being-hospitalised-after-nine-day,,1,https://www.facebook.com/nawnit2016/posts/2773745359380942,https://www.facebook.com/1452352681737270/photos/a.1759002721072263/2236541466651717/,https://www.facebook.com/RubiPathanINC/photos/a.2142835952650835/2564886553779104/,https://twitter.com/Abdal__Sheikh/status/1235484936997568512,https://twitter.com/ImAliZafaR/status/1236976583782453250,,,,,,,,,,,,These photos have circulated since 2011 in reports about the Indian yoga guru being hospitalised after a nine-day fast,20-Mar-2020,17-Apr-2020,India,Hindi,,COVID-19 status of individuals,Popular yoga guru was admitted to the hospital after drinking cow urine to prevent coronavirus,0,Other,"Mock yoga guru, Baba Ramdev",Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, cow urine, yoga, Baba Ramdev, hospital, cure",Old pictures of Baba Ramdev from 2011 were circulated as recent images of him being hospitalized after drinking cow urine to prevent coronavirus ,Kamya,-
AFP-I9,https://factcheck.afp.com/video-shows-lodging-facility-was-converted-covid-19-quarantine-centre,https://factcheck.afp.com/video-shows-lodging-facility-was-converted-covid-19-quarantine-centre,,1,https://www.facebook.com/venkatesh.varadhachary/videos/3212338015573568/,https://www.facebook.com/NewIndia2023/videos/232323291467304/,https://www.facebook.com/124410721611678/videos/242264043614268/,,https://twitter.com/spsridevi714gm1/status/1247392025541918720,https://twitter.com/ReportHinduphob/status/1247364207626063873,,,,,,,,,,,This video shows a lodging facility that was converted into a COVID-19 quarantine centre,17-Apr-2020,17-Apr-2020,India,Telugu,English,Emergency responses,A temple was converted into a quarantine center,0,Politics,Stoke religious anger by making people think the government had turned a temple into a quarantine center,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, temple, Andhra Pradesh, Kanipakam Ganesh temple, YS Jagan Mohan Reddy",A video was circulated over social media with the claim that a temple in Andhra Pradesh had been converted into a quarantine facility and blamed Andhra CM Jagan Mohan Reddy,Kamya,-
AFP-I10,https://factcheck.afp.com/video-has-circulated-online-2009-more-one-decade-covid-19-pandemic,https://factcheck.afp.com/video-has-circulated-online-2009-more-one-decade-covid-19-pandemic,,1,https://www.facebook.com/AuthorTarunTyagi/videos/vb.151703231685801/528926214439368/,https://www.facebook.com/ashokmongabjp/videos/2607494496192956/,https://www.facebook.com/HoneyBaJadeja.BJP/videos/609205073143598/,https://twitter.com/parasnathyadav9/status/1246020079206010882,https://twitter.com/gurupawan40/status/1245993890013786113,https://perma.cc/CTV6-YH33,,,,,,,,,,,This video has circulated online since 2009 -- more than one decade before the COVID-19 pandemic,17-Apr-2020,17-Apr-2020,India,Hindi,English,Emergency responses,A freight train was carrying essential commodities to be delivered to people during the coronavirus pandemic,0,Politics,Generate praise for PM Modi and his efforts to fight coronavirus,Individual actor,General public,"Twitter, Facebook, YouTube",False reporting,"Coronavirus, essential commodities, Narendra Modi, freight train",An old video was circulated on social media as a video of a freight train distributing essential commodities during the coronavirus pandemic ,Kamya,-
