ID,Reported_On,Additional_Reporting,Retrieve_from_1,Retrieve_from_2,Retrieve_from_3,Twitter_Reference,Direct_Post_1,Direct_Post_2,Direct_Post_3,Direct_Post_4,Title,Publication_Date,Entry_Date,Primary_Country,Secondary_Country,Primary_Language,Secondary_Language,Main_Narrative,Recoded_Main_Narrative,Recoded_Narrative_Coder,Narrative_Description,ChainMsg_or_Email,Motive,Motive_Description,Source,Source_Description,Distrib_Channel,Misinfo_Type,Key_Words,Summary,Coder,Notes
1,https://www.animalpolitico.com/elsabueso/falso-mensaje-alerta-cierre-comercios-veracruz/,,https://www.animalpolitico.com/elsabueso/falso-mensaje-alerta-cierre-comercios-veracruz/,,,0,,,,,Es falso el mensaje que alerta que comercios de Veracruz cerrarán por coronavirus,18-Mar-20,29-May-20,Mexico,,Spanish,,Emergency responses,,,"All shops in Veracruz, Mexico will close because of coronavirus",1,Fear,Spread fear of shortages and other disruptions,Individual actor,General public,WhatsApp,False reporting,"Coronavirus, Veracruz, shops, debt, stockpile, buy, close, Mariana Trinidad Viveros Aguirre","A Whatsapp message, attributed to local official Mariana Trinidad Viveros Aguirre, circulated in Mexico claiming that all shops and businesses in Veracruz would shut down because of coronavirus, also encouraging people to stock up on food and extinguish all debts.",Nicola,-
2,https://www.agenciaocote.com/bulo-el-uso-prolongado-de-la-mascarilla-produce-hipoxia/,,https://www.agenciaocote.com/bulo-el-uso-prolongado-de-la-mascarilla-produce-hipoxia/,,,0,,,,,El uso prolongado de la mascarilla produce hipoxia,5-May-20,30-May-20,Guatemala,,Spanish,,Other,,,Wearing face masks for too long can cause hypoxia,1,Fear,Spread fear of negative consequences from wearing face masks,Individual actor,General public,WhatsApp,False reporting,"Coronavirus, Guatemala, face mask, hypoxia, long, time, wear, warning",A Whatsapp message circulated in Guatemala falsely warning that wearing face masks for a prolonged period of time can lead to hypoxia (insufficient oxygen going to vital tissues).,Nicola,-
3,https://www.animalpolitico.com/elsabueso/cadena-de-whatsapp-cuidados-covid-19/,,https://www.animalpolitico.com/elsabueso/cadena-de-whatsapp-cuidados-covid-19/,,,0,,,,,"Esta cadena de WhatsApp difunde ""cuidados"" por COVID-19: qué sí es real y que no",19-Mar-20,30-May-20,Mexico,,Spanish,,Nature of the virus,,,False info about the likely trends in the epidemiological curve and on the R_0 parameter,1,Help,Provide info in a time of uncertainty,Individual actor,General public,WhatsApp,False reporting,"Coronavirus, Mexico, curve, 15 days, peak, R0, home, infect, distance",A Whatsapp message circulated in Mexico spreading out-of-context or misleading information on the likely trends in the epidemiological curve (the peak lasts 15 days) and on the meaning of the R_0 parameter,Nicola,-
4,https://efectococuyo.com/cocuyo-chequea/coronavirus-no-llegado-venezuela/,,https://efectococuyo.com/cocuyo-chequea/coronavirus-no-llegado-venezuela/,,,1,https://twitter.com/AmericoDeGrazia/status/1220354010600869888,https://twitter.com/AlbertoRodNews/status/1220355716101353474,,,Coronavirus no ha llegado a Venezuela como se afirma en redes sociales y cadena de WhatsApp,23-Jan-20,30-May-20,"Venezuela, Bolivarian Republic of",,Spanish,,COVID-19 status of individuals,,,"Venezuela had registered its first COVID-19 case by January 23, 2020",1,Fear,"Sprea fear of coronavirus outbreak in Venezuela, mistake","Individual actor, Political actor, Media","General public, exiled representative Americo De Grazia (@AmericoDeGrazia), media outlet AlbertoRodNews (@AlbertoRodNews)

","WhatsApp, Twitter",False reporting,"Coronavirus, Venezuela, first case, China, Americo De Garzia, Clínica Chilemex, pneumonia",A WhatsApp message circulated in Venezuela claiming that the first case in the country had been registered (on January 23). The story was also echoed by exiled representative Americo de Garzia and by media outlet AlbertoRodNews.,Nicola,-
5,https://chequeado.com/verificacionfb/no-no-se-confirmo-un-caso-de-coronavirus-en-santiago-del-estero/,,https://chequeado.com/verificacionfb/no-no-se-confirmo-un-caso-de-coronavirus-en-santiago-del-estero/,,,0,,,,,"No, no se confirmó un caso de Coronavirus en Santiago del Estero",27-Feb-20,31-May-20,Argentina,,Spanish,,COVID-19 status of individuals,,,Argentina registered the first case of coronavirus in the city of Santiago del Estero,0,Fear,Spread fear about the outbreak of the epidemics in Argentina,Individual actor,General public,Facebook,False reporting,"Coronavirus, Argentina, primer paciente, Santiago del Etere","A Facebook message circulated saying that the first Covid-19 patient was detected in Argentina, in the city of Santiago del Etere. However, it was denied by Health authorities.",Luca,-
6,https://chequeado.com/verificacionfb/es-falso-que-se-confirmo-un-caso-de-coronavirus-en-chaco/,,https://chequeado.com/verificacionfb/es-falso-que-se-confirmo-un-caso-de-coronavirus-en-chaco/,,,0,,,,,Es falso que se confirmó un caso de Coronavirus en Chaco,27-Feb-20,31-May-20,Argentina,,Spanish,,COVID-19 status of individuals,,,Argentina registered the first case of coronavirus in the northern province Chaco,0,Fear,Effort to spread fear about the first case of coronavirus detected in Argentina,Individual actor,General public,Facebook,False reporting,"Coronavirus, Argentina, primer paciente, Chaco",A screenshot was posted on Facebook showing a text saying that the first case of Covid-19 was detected in the northern province of Chaco,Luca,-
7,https://chequeado.com/verificacionfb/es-falso-que-un-medico-argentino-descubrio-y-esta-aplicando-una-vacuna-contra-el-coronavirus-en-espana/,,https://chequeado.com/verificacionfb/es-falso-que-un-medico-argentino-descubrio-y-esta-aplicando-una-vacuna-contra-el-coronavirus-en-espana/,,,1,,,,,Es falso que un médico argentino descubrió y está aplicando una vacuna contra el coronavirus en España,27-Feb-20,31-May-20,Argentina,,Spanish,,False cures and preventative measures,,,"An Argentinian doctor has found the vaccine but he is not reported by the media since he participated in the autopsy of Alberto Nisman, saying he had been killed",1,False Hope,Effort to spread false hope saying that a doctor has found the vaccine,Individual actor,General public,"Facebook, WhatsApp, Twitter",False reporting,"Coronavirus, Argentina, vacuna","A photo of a doctor was spread saying he has found the vaccine against Covid-19. However, the guy in the photo is a famous Argentinian actor, and it is not true that the vaccine has been found",Luca,-
8,https://piaui.folha.uol.com.br/lupa/2020/04/08/verificamos-latam-coronavirus-vacunas/,,https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2020/01/corona-virus-atenuado.jpg,,,0,,,,,#Verificamos: Es falso que una patente prueba que las farmacéuticas esparcieron el nuevo coronavirus para vender vacunas,24-Jan-20,1-Jun-20,Brazil,,Portuguese,,Weaponization or design,,,Weak form of COVID-19 already existed and was spread around to sell the vaccine,0,Other,Spread fake claim about a plot behind coronavirus,Individual actor,General public,Facebook,Conspiracy,"Coronavirus, Brazil, vaccine, weak, virus, sell, patent",Claim was shared on Facebook about a weak form of COVID-19 having been patented in the past years in order to sell the vaccine.,Nicola,-
9,https://colombiacheck.com/chequeos/no-comerciante-de-el-hueco-no-esta-internado-en-hospital-de-medellin-con-sintomas-del,,http://archive.is/FwBgs,,,0,,,,,"No, comerciante de El Hueco no está internado en hospital de Medellín ‘con síntomas del coronavirus’",26-Jan-20,1-Jun-20,Colombia,,Spanish,,COVID-19 status of individuals,,,First case of coronavirus was detected in Colombia in late January,0,Fear,Spread fear of contagion in Colombia,Individual actor,Facebook page Purga Universitaria,Facebook,False reporting,"Coronavirus, Colombia, shop, owner, first, case, El Hueco, Medellin","Claim was shared that a shop-owner in El Hueco, Medellin (Colombia) had tested positive for coronavirus, representing the first case in the country.",Nicola,-
10,https://www.animalpolitico.com/elsabueso/es-falso-que-una-farmaceutica-haya-creado-el-coronavirus/,,https://www.animalpolitico.com/elsabueso/es-falso-que-una-farmaceutica-haya-creado-el-coronavirus/,,,0,,,,,Es falso que una farmacéutica haya creado el coronavirus,27-Jan-20,1-Jun-20,Ambiguous,,Spanish,,Weaponization or design,,,Picture shows the man who created the virus,0,Other,Spread a funny claim about the creator of the virus,Individual actor,General public,"Facebook, Twitter",Conspiracy,"Coronavirus, CNN, Auronplay, Abduz Kahn, Youtuber, creator, pharmaceutical, profit, Karmalah, laboratory","Picture circulated (really showing Spanish Youtuber AuronPlay) alongside the claim that it showed the creator of the novel coronavirus, who made it in a laboratory on behalf of a pharmaceutical firm eager to make profits out of it.",Nicola,-
11,https://chequeado.com/el-explicador/no-no-hay-pruebas-de-que-la-vitamina-c-y-el-agua-con-limon-prevengan-el-coronavirus/,,https://chequeado.com/el-explicador/no-no-hay-pruebas-de-que-la-vitamina-c-y-el-agua-con-limon-prevengan-el-coronavirus/,,,0,,,,,"No, no hay pruebas de que la vitamina C y el agua con limón prevengan el coronavirus",1-Jun-20,1-Jun-20,Ambiguous,,Spanish,,False cures and preventative measures,,,"An audio by Laila Ahmadi, an expert, saying that Vitamin C and water with lemon are good measures against the virus",1,Help,Spread a message with the intent to help friends on WhatsApp by telling them which are good measures against the virus,Individual actor,General public,WhatsApp,Fake remedy,"Coronavirus, vitamina C, limon","An audio message, allegedely by Laila Ahamadi, a scholar from China, circulated on WhatsApp in several countries saying that vitamin C and lemon are good measures against the virus. However, there is no evidence this is true",Luca,-
12,http://www.ecuadorchequea.com/coronavirus-ecuador-ministerio-caso-pandemia/,,http://www.ecuadorchequea.com/coronavirus-ecuador-ministerio-caso-pandemia/,,,0,,,,,#FALSETA Se confirmó caso de coronavirus en Ecuador,27-Jan-20,3-Jun-20,Ecuador,,Spanish,,COVID-19 status of individuals,,,First cases of coronavirus were detected in ecuador as of the end of January,1,Fear,Spread fear of contagion in Ecuador,Individual actor,"General public on WhatsApp, Facebook pages Ecotel Press and Mira La Plena","Facebook, Whatsapp",False reporting,"Coronavirus, Chinese, man, 49, three, positive, test, Ecuador, January",Fake claims spread on Facebook and WhatsApp in Ecuador that the first cases of coronavirus had been detected in the country asof the end of January,Nicola,-
