,word1,word2,similarity
0,vaccine,bad,0.24169223
1,vaccine,good,0.29611447
2,vaccine,effective,0.7186649
3,vaccine,dangerous,0.39604348
4,vaccine,ineffective,0.7637438
5,vaccine,deadly,0.4159848
6,government,good,0.56079227
7,government,bad,0.37036547
8,response,good,0.49588776
9,response,bad,0.37810293
10,hydroxychloroquine,good,0.53912866
11,hydroxychloroquine,bad,0.43959054
12,America,good,0.41138685
13,America,bad,0.46981594
14,China,good,0.35560787
15,China,bad,0.3338192
16,Russia,good,0.39462253
17,Russia,bad,0.4676034
18,India,good,0.53749263
19,India,bad,0.5831872
20,China,fast,0.31913608
21,China,slow,0.33013296
22,America,fast,0.35199845
23,America,slow,0.34328595
24,America,good,0.41138685
25,America,bad,0.46981594
26,Russia,fast,0.43010756
27,Russia,slow,0.5131357
28,India,fast,0.25522456
29,India,slow,0.45983505
30,government,fast,0.53541195
31,government,slow,0.35460955
32,response,fast,0.5478758
33,response,slow,0.6191232
34,America,lying,0.15907918
35,America,truthful,0.32053953
36,China,lying,0.3954643
37,China,truthful,0.29485252
38,Russia,lying,0.18054834
39,Russia,truthful,0.37687123
40,5G,Covid,0.3341369
41,5G,vaccine,0.10225621
42,5G,America,0.17266354
43,5G,China,0.2624649
