COUNTA of Primary_Country,,Primary_Country,,,,,,,,,,,,,,,,,
Main_Narrative,Recoded_Main_Narrative,Algeria,Egypt,"Iran, Islamic Republic of",Iraq,Jordan,Kuwait,Lebanon,Libya,Morocco,"Palestine, State of",Saudi Arabia,Sudan,Syrian Arab Republic,Tunisia,United Arab Emirates,Yemen,Grand Total,
COVID-19 status of individuals,(blank),4,44,4,22,4,3,7,1,2,1,6,1,8,4,3,2,116,
Emergency responses,,7,53,6,12,8,4,2,,4,5,20,1,4,11,6,,143,
False cures and preventative measures,(blank),1,16,5,4,,1,2,,,,7,,2,1,,,39,
False diagnosis procedures,(blank),,1,2,,,,,,,,,,,,,,3,
Government responses,,1,27,,3,2,2,1,,2,,7,,,6,,,51,
Nature of the virus,(blank),1,9,,2,1,1,4,,,,1,2,,3,,,24,
Non-Government responses,,1,11,,1,,1,2,3,,2,6,1,1,2,1,,32,
Origin of the virus,(blank),,1,2,,1,,,,,,1,,,,,,5,
Other,,9,31,3,3,6,3,2,,5,3,14,4,2,6,4,1,96,
Weaponization or design,(blank),,1,7,2,,1,1,,,,2,,2,1,,,17,
Grand Total,,24,194,29,49,22,16,21,4,13,11,64,9,19,34,14,3,526,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
COUNTA of Primary_Language,Primary_Language,,,,,,,,,,,,,,,,,,
Publication_Date,Arabic,3-day Average,5-day Average,,,,,,,,,,,,,,,,
26-Jan-20,1,,,,,,,,,,,,,,,,,,
27-Jan-20,1,,,,,,,,,,,,,,,,,,
29-Jan-20,2,1.33333333333333,,,,,,,,,,,,,,,,,
30-Jan-20,1,1.33333333333333,,,,,,,,,,,,,,,,,
2-Feb-20,1,1.33333333333333,1.2,,,,,,,,,,,,,,,,
3-Feb-20,2,1.33333333333333,1.4,,,,,,,,,,,,,,,,
4-Feb-20,2,1.66666666666667,1.6,,,,,,,,,,,,,,,,
6-Feb-20,1,1.66666666666667,1.4,,,,,,,,,,,,,,,,
7-Feb-20,1,1.33333333333333,1.4,,,,,,,,,,,,,,,,
8-Feb-20,1,1,1.4,,,,,,,,,,,,,,,,
11-Feb-20,1,1,1.2,,,,,,,,,,,,,,,,
12-Feb-20,2,1.33333333333333,1.2,,,,,,,,,,,,,,,,
13-Feb-20,1,1.33333333333333,1.2,,,,,,,,,,,,,,,,
16-Feb-20,3,2,1.6,,,,,,,,,,,,,,,,
18-Feb-20,2,2,1.8,,,,,,,,,,,,,,,,
19-Feb-20,2,2.33333333333333,2,,,,,,,,,,,,,,,,
20-Feb-20,1,1.66666666666667,1.8,,,,,,,,,,,,,,,,
21-Feb-20,3,2,2.2,,,,,,,,,,,,,,,,
22-Feb-20,1,1.66666666666667,1.8,,,,,,,,,,,,,,,,
23-Feb-20,2,2,1.8,,,,,,,,,,,,,,,,
24-Feb-20,1,1.33333333333333,1.6,,,,,,,,,,,,,,,,
27-Feb-20,1,1.33333333333333,1.6,,,,,,,,,,,,,,,,
3-Mar-20,4,2,1.8,,,,,,,,,,,,,,,,
4-Mar-20,4,3,2.4,,,,,,,,,,,,,,,,
5-Mar-20,3,3.66666666666667,2.6,,,,,,,,,,,,,,,,
7-Mar-20,1,2.66666666666667,2.6,,,,,,,,,,,,,,,,
9-Mar-20,1,1.66666666666667,2.6,,,,,,,,,,,,,,,,
10-Mar-20,2,1.33333333333333,2.2,,,,,,,,,,,,,,,,
12-Mar-20,2,1.66666666666667,1.8,,,,,,,,,,,,,,,,
13-Mar-20,1,1.66666666666667,1.4,,,,,,,,,,,,,,,,
14-Mar-20,4,2.33333333333333,2,,,,,,,,,,,,,,,,
15-Mar-20,1,2,2,,,,,,,,,,,,,,,,
16-Mar-20,6,3.66666666666667,2.8,,,,,,,,,,,,,,,,
17-Mar-20,4,3.66666666666667,3.2,,,,,,,,,,,,,,,,
18-Mar-20,5,5,4,,,,,,,,,,,,,,,,
19-Mar-20,6,5,4.4,,,,,,,,,,,,,,,,
20-Mar-20,3,4.66666666666667,4.8,,,,,,,,,,,,,,,,
21-Mar-20,1,3.33333333333333,3.8,,,,,,,,,,,,,,,,
22-Mar-20,1,1.66666666666667,3.2,,,,,,,,,,,,,,,,
23-Mar-20,3,1.66666666666667,2.8,,,,,,,,,,,,,,,,
24-Mar-20,4,2.66666666666667,2.4,,,,,,,,,,,,,,,,
25-Mar-20,3,3.33333333333333,2.4,,,,,,,,,,,,,,,,
26-Mar-20,2,3,2.6,,,,,,,,,,,,,,,,
27-Mar-20,3,2.66666666666667,3,,,,,,,,,,,,,,,,
28-Mar-20,1,2,2.6,,,,,,,,,,,,,,,,
29-Mar-20,2,2,2.2,,,,,,,,,,,,,,,,
30-Mar-20,5,2.66666666666667,2.6,,,,,,,,,,,,,,,,
31-Mar-20,3,3.33333333333333,2.8,,,,,,,,,,,,,,,,
1-Apr-20,3,3.66666666666667,2.8,,,,,,,,,,,,,,,,
2-Apr-20,6,4,3.8,,,,,,,,,,,,,,,,
3-Apr-20,6,5,4.6,,,,,,,,,,,,,,,,
4-Apr-20,2,4.66666666666667,4,,,,,,,,,,,,,,,,
5-Apr-20,5,4.33333333333333,4.4,,,,,,,,,,,,,,,,
6-Apr-20,6,4.33333333333333,5,,,,,,,,,,,,,,,,
7-Apr-20,2,4.33333333333333,4.2,,,,,,,,,,,,,,,,
8-Apr-20,4,4,3.8,,,,,,,,,,,,,,,,
9-Apr-20,7,4.33333333333333,4.8,,,,,,,,,,,,,,,,
10-Apr-20,2,4.33333333333333,4.2,,,,,,,,,,,,,,,,
11-Apr-20,7,5.33333333333333,4.4,,,,,,,,,,,,,,,,
12-Apr-20,7,5.33333333333333,5.4,,,,,,,,,,,,,,,,
13-Apr-20,5,6.33333333333333,5.6,,,,,,,,,,,,,,,,
14-Apr-20,3,5,4.8,,,,,,,,,,,,,,,,
15-Apr-20,3,3.66666666666667,5,,,,,,,,,,,,,,,,
16-Apr-20,2,2.66666666666667,4,,,,,,,,,,,,,,,,
17-Apr-20,3,2.66666666666667,3.2,,,,,,,,,,,,,,,,
18-Apr-20,4,3,3,,,,,,,,,,,,,,,,
19-Apr-20,7,4.66666666666667,3.8,,,,,,,,,,,,,,,,
20-Apr-20,2,4.33333333333333,3.6,,,,,,,,,,,,,,,,
21-Apr-20,8,5.66666666666667,4.8,,,,,,,,,,,,,,,,
23-Apr-20,2,4,4.6,,,,,,,,,,,,,,,,
24-Apr-20,2,4,4.2,,,,,,,,,,,,,,,,
25-Apr-20,1,1.66666666666667,3,,,,,,,,,,,,,,,,
26-Apr-20,3,2,3.2,,,,,,,,,,,,,,,,
27-Apr-20,1,1.66666666666667,1.8,,,,,,,,,,,,,,,,
28-Apr-20,3,2.33333333333333,2,,,,,,,,,,,,,,,,
29-Apr-20,4,2.66666666666667,2.4,,,,,,,,,,,,,,,,
30-Apr-20,3,3.33333333333333,2.8,,,,,,,,,,,,,,,,
1-May-20,5,4,3.2,,,,,,,,,,,,,,,,
2-May-20,6,4.66666666666667,4.2,,,,,,,,,,,,,,,,
3-May-20,3,4.66666666666667,4.2,,,,,,,,,,,,,,,,
4-May-20,1,3.33333333333333,3.6,,,,,,,,,,,,,,,,
6-May-20,4,2.66666666666667,3.8,,,,,,,,,,,,,,,,
7-May-20,3,2.66666666666667,3.4,,,,,,,,,,,,,,,,
8-May-20,4,3.66666666666667,3,,,,,,,,,,,,,,,,
9-May-20,6,4.33333333333333,3.6,,,,,,,,,,,,,,,,
10-May-20,2,4,3.8,,,,,,,,,,,,,,,,
11-May-20,2,3.33333333333333,3.4,,,,,,,,,,,,,,,,
12-May-20,2,2,3.2,,,,,,,,,,,,,,,,
13-May-20,4,2.66666666666667,3.2,,,,,,,,,,,,,,,,
14-May-20,3,3,2.6,,,,,,,,,,,,,,,,
15-May-20,5,4,3.2,,,,,,,,,,,,,,,,
16-May-20,4,4,3.6,,,,,,,,,,,,,,,,
17-May-20,8,5.66666666666667,4.8,,,,,,,,,,,,,,,,
18-May-20,6,6,5.2,,,,,,,,,,,,,,,,
19-May-20,4,6,5.4,,,,,,,,,,,,,,,,
20-May-20,5,5,5.4,,,,,,,,,,,,,,,,
21-May-20,5,4.66666666666667,5.6,,,,,,,,,,,,,,,,
22-May-20,5,5,5,,,,,,,,,,,,,,,,
23-May-20,3,4.33333333333333,4.4,,,,,,,,,,,,,,,,
24-May-20,2,3.33333333333333,4,,,,,,,,,,,,,,,,
25-May-20,2,2.33333333333333,3.4,,,,,,,,,,,,,,,,
26-May-20,6,3.33333333333333,3.6,,,,,,,,,,,,,,,,
27-May-20,4,4,3.4,,,,,,,,,,,,,,,,
28-May-20,2,4,3.2,,,,,,,,,,,,,,,,
29-May-20,4,3.33333333333333,3.6,,,,,,,,,,,,,,,,
30-May-20,3,3,3.8,,,,,,,,,,,,,,,,
31-May-20,4,3.66666666666667,3.4,,,,,,,,,,,,,,,,
1-Jun-20,3,3.33333333333333,3.2,,,,,,,,,,,,,,,,
3-Jun-20,1,2.66666666666667,3,,,,,,,,,,,,,,,,
4-Jun-20,4,2.66666666666667,3,,,,,,,,,,,,,,,,
5-Jun-20,3,2.66666666666667,3,,,,,,,,,,,,,,,,
6-Jun-20,1,2.66666666666667,2.4,,,,,,,,,,,,,,,,
7-Jun-20,2,2,2.2,,,,,,,,,,,,,,,,
9-Jun-20,4,2.33333333333333,2.8,,,,,,,,,,,,,,,,
10-Jun-20,4,3.33333333333333,2.8,,,,,,,,,,,,,,,,
11-Jun-20,6,4.66666666666667,3.4,,,,,,,,,,,,,,,,
12-Jun-20,4,4.66666666666667,4,,,,,,,,,,,,,,,,
13-Jun-20,7,5.66666666666667,5,,,,,,,,,,,,,,,,
14-Jun-20,5,5.33333333333333,5.2,,,,,,,,,,,,,,,,
15-Jun-20,4,5.33333333333333,5.2,,,,,,,,,,,,,,,,
16-Jun-20,5,4.66666666666667,5,,,,,,,,,,,,,,,,
17-Jun-20,5,4.66666666666667,5.2,,,,,,,,,,,,,,,,
18-Jun-20,4,4.66666666666667,4.6,,,,,,,,,,,,,,,,
19-Jun-20,7,5.33333333333333,5,,,,,,,,,,,,,,,,
20-Jun-20,9,6.66666666666667,6,,,,,,,,,,,,,,,,
21-Jun-20,4,6.66666666666667,5.8,,,,,,,,,,,,,,,,
22-Jun-20,9,7.33333333333333,6.6,,,,,,,,,,,,,,,,
23-Jun-20,1,4.66666666666667,6,,,,,,,,,,,,,,,,
24-Jun-20,4,4.66666666666667,5.4,,,,,,,,,,,,,,,,
25-Jun-20,5,3.33333333333333,4.6,,,,,,,,,,,,,,,,
26-Jun-20,11,6.66666666666667,6,,,,,,,,,,,,,,,,
27-Jun-20,7,7.66666666666667,5.6,,,,,,,,,,,,,,,,
28-Jun-20,4,7.33333333333333,6.2,,,,,,,,,,,,,,,,
29-Jun-20,1,4,5.6,,,,,,,,,,,,,,,,
30-Jun-20,2,2.33333333333333,5,,,,,,,,,,,,,,,,
1-Jul-20,7,3.33333333333333,4.2,,,,,,,,,,,,,,,,
2-Jul-20,7,5.33333333333333,4.2,,,,,,,,,,,,,,,,
3-Jul-20,4,6,4.2,,,,,,,,,,,,,,,,
4-Jul-20,4,5,4.8,,,,,,,,,,,,,,,,
5-Jul-20,4,4,5.2,,,,,,,,,,,,,,,,
6-Jul-20,5,4.33333333333333,4.8,,,,,,,,,,,,,,,,
7-Jul-20,5,4.66666666666667,4.4,,,,,,,,,,,,,,,,
8-Jul-20,6,5.33333333333333,4.8,,,,,,,,,,,,,,,,
9-Jul-20,5,5.33333333333333,5,,,,,,,,,,,,,,,,
10-Jul-20,6,5.66666666666667,5.4,,,,,,,,,,,,,,,,
11-Jul-20,3,4.66666666666667,5,,,,,,,,,,,,,,,,
12-Jul-20,5,4.66666666666667,5,,,,,,,,,,,,,,,,
13-Jul-20,2,3.33333333333333,4.2,,,,,,,,,,,,,,,,
14-Jul-20,4,3.66666666666667,4,,,,,,,,,,,,,,,,
15-Jul-20,3,3,3.4,,,,,,,,,,,,,,,,
16-Jul-20,7,4.66666666666667,4.2,,,,,,,,,,,,,,,,
17-Jul-20,8,6,4.8,,,,,,,,,,,,,,,,
18-Jul-20,3,6,5,,,,,,,,,,,,,,,,
19-Jul-20,2,4.33333333333333,4.6,,,,,,,,,,,,,,,,
20-Jul-20,4,3,4.8,,,,,,,,,,,,,,,,
21-Jul-20,3,3,4,,,,,,,,,,,,,,,,
22-Jul-20,3,3.33333333333333,3,,,,,,,,,,,,,,,,
24-Jul-20,2,2.66666666666667,2.8,,,,,,,,,,,,,,,,
25-Jul-20,1,2,2.6,,,,,,,,,,,,,,,,
27-Jul-20,2,1.66666666666667,2.2,,,,,,,,,,,,,,,,
28-Jul-20,3,2,2.2,,,,,,,,,,,,,,,,
29-Jul-20,2,2.33333333333333,2,,,,,,,,,,,,,,,,
1-Aug-20,1,2,1.8,,,,,,,,,,,,,,,,
3-Aug-20,1,1.33333333333333,1.8,,,,,,,,,,,,,,,,
11-Aug-20,1,1,1.6,,,,,,,,,,,,,,,,
12-Aug-20,1,1,1.2,,,,,,,,,,,,,,,,
13-Aug-20,2,1.33333333333333,1.2,,,,,,,,,,,,,,,,
14-Aug-20,2,1.66666666666667,1.4,,,,,,,,,,,,,,,,
16-Aug-20,1,1.66666666666667,1.4,,,,,,,,,,,,,,,,
17-Aug-20,4,2.33333333333333,2,,,,,,,,,,,,,,,,
19-Aug-20,1,2,2,,,,,,,,,,,,,,,,
21-Aug-20,1,2,1.8,,,,,,,,,,,,,,,,
22-Aug-20,3,1.66666666666667,2,,,,,,,,,,,,,,,,
23-Aug-20,2,2,2.2,,,,,,,,,,,,,,,,
24-Aug-20,1,2,1.6,,,,,,,,,,,,,,,,
