id,tweet,label
1,Our daily published States 734k tests 39k 532 deaths Current hospitalizations fell 30k time June 22 httpstcowzSYMe0Sht,real
2,Alfalfa cure,fake
3,President Trump Asked What He Would Do If He Were To Catch The Coronavirus httpstco3MEWhusRZI donaldtrump,fake
4,States 630 deaths We solid national decline Death lags 28 symptom onset models lags time death process httpstcoLBmcot3h9a,real
5,This sixth time global emergency declared International Health Regulations easily severeDrTedros httpstcoJvKC0PTett,real
6,Low vitaminD independent predictor worse prognosis patients httpstcoCGD6Kphn31 httpstcochtni8K4Jd,real
7,A common question cumulative outcome numbers smaller current outcome numbers A Most states current states cumulative They apples oranges feel comfortable filling state cumulative boxes current,real
8,The bringing national Christmas Oxford University professor httpstcopdOls6cqoN,real
9,Our daily published Weve tracked 29 tests 119k That's smallest increase April 1 Note track tests state reports And states tests See httpstcoPZrmH4bl5Y httpstco2588xW5yNm,real
10,Breakdown 4 air crew 97 hotel &amp staff facility 71 hotel guests &amp 2 exempted returned tests And 200 current guests Novotel swabbed Tuesday &amp Wednesday Their,real
11,Two interesting correlations 1) Children tend weather pretty ton Vitamin D 2) Black slammed black higher instances Vitamin D deficiency (76% 40% general population),fake
12,A photo 19yearold canine prevent causing,fake
13,Assistant Undersecretary Public Health Affairs Dr Buthayna Almodaf highlighted risk communication &amp public education fighting The country increased capacity enabling 400000,real
14,An audio file alleged worker institution Rio Janeiro She workers public institutions Rio forced state patient sees This allegedly artificially inflate number,fake
15,Says Coronavirus Aid Relief Economic Security Act members Congress pay increase,fake
16,Kids reach fk shit stage httpstcoswClEhi2Iq,fake
17,"Households ""required"" medical kits items equipment treat stages",fake
18,An image man carrying mother migrants travelling homes amidst,fake
19,While socialdistancing time check friends family Set daily phone video touch base challenging parts TogetherApart httpstcoKyBmehvGcY httpstcorN1RmYS9i0,real
20,"310 About 8% population ""may antibodies"" The ""vast majority"" vulnerable disease Sir Patrick Vallance httpstcoSWcqc3XLyJ httpstcodrmAv7kmBA",real
21,Korona deadly form china suffering avoid form cold drinks ice creams koolfee type preserved foods milkshake rough ice ice colas milk sweets older 48 hours atleast 90,fake
22,A 2009 tweet Donald Trump thousands Americans die office,fake
23,ICUs forcing patients wait hours hoursto admit emergency room httpstcogo6Sx5yuRx,real
24,"President Donald Trump tweeted ""Coronavirus Stock market Economy stronger Besides US inventions Judaism olives Wonderful DEAD Can't vaccines bombed peace I created Israel""",fake
25,New York continues highest tests capita indication intensity severity outbreak Heres 10 New York Washington New Jersey Louisiana DC Michigan Illinois Vermont Colorado Rhode Island,real
26,The government's chief scientific adviser warned UK 49000 action Sky's EdConwaySky takes data suggests real number lower Latest httpstcokORpcHXQIJ httpstcoTdNeKOAlCq,real
27,Brazil's minister confirmation considered death toll,fake
28,Govt disease existing mediclaim insurances special case COVID2019India httpstco39vpW7tBqq,fake
29,She managed Isolation Distinction Hotel Hamilton 3 stay We 13 confirmed Auckland They linked 4,real
30,"The Gates Foundation ""has patent coronavirus""",fake
